Product,Product Page,Image URL,Saved File
Aguascalientes,https://www.licorea.com/preferencias.php?return=%2F%3Fkeywords%3DAguascalientes%26language%3Den,https://www.licorea.com/images/logo-social.png,C:\Users\cmcneill6\arthurs-shop\FinalImages\Aguascalientes.png
Aguascalientes Coffee,https://www.licorea.com/preferencias.php?return=%2Fadvanced_search_result.php%3Fkeywords%3DAguascalientes%2BCoffee,https://www.licorea.com/images/logo-social.png,C:\Users\cmcneill6\arthurs-shop\FinalImages\Aguascalientes Coffee.png
Aguascalientes Mango,https://www.licorea.com/preferencias.php?return=%2Fadvanced_search_result.php%3Fkeywords%3DAguascalientes%2BMango,https://www.licorea.com/images/logo-social.png,C:\Users\cmcneill6\arthurs-shop\FinalImages\Aguascalientes Mango.png
Aguascalientes Strawberry,https://www.licorea.com/preferencias.php?return=%2Fadvanced_search_result.php%3Fkeywords%3DAguascalientes%2BStrawberry,https://www.licorea.com/images/logo-social.png,C:\Users\cmcneill6\arthurs-shop\FinalImages\Aguascalientes Strawberry.png
Cazcabel Coffe,https://www.licorea.com/preferencias.php?return=%2Fadvanced_search_result.php%3Fkeywords%3DCazcabel%2BCoffe,https://www.licorea.com/images/logo-social.png,C:\Users\cmcneill6\arthurs-shop\FinalImages\Cazcabel Coffe.png
Don Julio Reposado,https://www.licorea.com/preferencias.php?return=%2Fadvanced_search_result.php%3Fkeywords%3DDon%2BJulio%2BReposado,https://www.licorea.com/images/logo-social.png,C:\Users\cmcneill6\arthurs-shop\FinalImages\Don Julio Reposado.png
Don Julio Blanco,https://www.licorea.com/preferencias.php?return=%2Fadvanced_search_result.php%3Fkeywords%3DDon%2BJulio%2BBlanco,https://www.licorea.com/images/logo-social.png,C:\Users\cmcneill6\arthurs-shop\FinalImages\Don Julio Blanco.png
Don Julio 1942,https://www.licorea.com/preferencias.php?return=%2Fadvanced_search_result.php%3Fkeywords%3DDon%2BJulio%2B1942,https://www.licorea.com/images/logo-social.png,C:\Users\cmcneill6\arthurs-shop\FinalImages\Don Julio 1942.png
Jose cuervo Gold,https://www.licorea.com/preferencias.php?return=%2Fadvanced_search_result.php%3Fkeywords%3DJose%2Bcuervo%2BGold,https://www.licorea.com/images/logo-social.png,C:\Users\cmcneill6\arthurs-shop\FinalImages\Jose cuervo Gold.png
Jose Cuervo Gold 700,https://www.licorea.com/preferencias.php?return=%2Fadvanced_search_result.php%3Fkeywords%3DJose%2BCuervo%2BGold%2B700,https://www.licorea.com/images/logo-social.png,C:\Users\cmcneill6\arthurs-shop\FinalImages\Jose Cuervo Gold 700.png
Jose Cuervo Silver Litre,https://www.licorea.com/preferencias.php?return=%2Fadvanced_search_result.php%3Fkeywords%3DJose%2BCuervo%2BSilver%2BLitre,https://www.licorea.com/images/logo-social.png,C:\Users\cmcneill6\arthurs-shop\FinalImages\Jose Cuervo Silver Litre.png
Jose Cuervo Silver 700,https://www.licorea.com/preferencias.php?return=%2Fadvanced_search_result.php%3Fkeywords%3DJose%2BCuervo%2BSilver%2B700,https://www.licorea.com/images/logo-social.png,C:\Users\cmcneill6\arthurs-shop\FinalImages\Jose Cuervo Silver 700.png
Mexicali Fresa,https://www.licorea.com/preferencias.php?return=%2Fadvanced_search_result.php%3Fkeywords%3DMexicali%2BFresa,https://www.licorea.com/images/logo-social.png,C:\Users\cmcneill6\arthurs-shop\FinalImages\Mexicali Fresa.png
Tequila rose,https://www.licorea.com/preferencias.php?return=%2Fadvanced_search_result.php%3Fkeywords%3DTequila%2Brose,https://www.licorea.com/images/logo-social.png,C:\Users\cmcneill6\arthurs-shop\FinalImages\Tequila rose.png
